topic_group,horizon_months,dong_cluster,end_month,topic_share_window,outflow_window
시설노후/파손,3,신흥동,202406,0.962587529605602,-0.4477948519699752
시설노후/파손,3,야탑동,202403,0.9316239316239315,0.20553537742489514
시설노후/파손,3,야탑동,202404,0.918552036199095,0.318157502041276
시설노후/파손,3,야탑동,202405,0.9722082565219821,0.32660416138750453
시설노후/파손,3,야탑동,202406,0.919669292218312,0.32660416138750453
시설노후/파손,3,양지동,202403,1.0,-0.1372549019607843
시설노후/파손,3,양지동,202404,0.8333333333333334,0.19607843137254907
시설노후/파손,3,양지동,202405,0.8333333333333334,0.6470588235294118
시설노후/파손,3,양지동,202406,0.5416666666666666,0.6666666666666666
시설노후/파손,3,운중동,202403,0.823931623931624,-0.5603129294851464
시설노후/파손,3,운중동,202404,0.9474747474747476,-0.4915953060577229
시설노후/파손,3,운중동,202405,0.9696969696969697,-0.30130034887408813
시설노후/파손,3,운중동,202406,0.8030303030303031,-0.14272121788772596
시설노후/파손,3,은행동,202403,0.9810606060606061,0.34638955502264857
시설노후/파손,3,은행동,202404,0.9962121212121212,0.21316280309086064
시설노후/파손,3,은행동,202405,1.0,0.39968025579536376
시설노후/파손,3,은행동,202406,0.9915611814345991,0.2611244337863043
시설노후/파손,3,이매동,202403,0.8909430438842203,0.7407407407407408
시설노후/파손,3,이매동,202404,0.8576097105508871,0.5726293669556081
시설노후/파손,3,이매동,202405,0.8937345052963716,0.2994483845547675
시설노후/파손,3,이매동,202406,0.9121168582375478,0.278434462831626
시설노후/파손,3,정자동,202403,0.8872180451127821,0.3264051214016468
시설노후/파손,3,정자동,202404,0.8932669511616881,0.2969233685008529
시설노후/파손,3,정자동,202405,0.9548250609956598,0.2126897887842989
시설노후/파손,3,정자동,202406,0.9143979061520291,0.0547518268157601
시설노후/파손,3,중앙동,202403,1.0,0.1816860465116279
시설노후/파손,3,중앙동,202404,0.9743589743589745,0.1816860465116279
시설노후/파손,3,중앙동,202405,0.9743589743589745,0.29069767441860467
시설노후/파손,3,중앙동,202406,0.9440559440559442,0.08478682170542635
시설노후/파손,3,태평동,202403,0.8726001616087228,0.8991289688114638
시설노후/파손,3,태평동,202404,0.8639718149522072,1.0552277481190098
시설노후/파손,3,태평동,202405,0.9307974641307976,0.8897630420530112
시설노후/파손,3,태평동,202406,0.9333965544491861,0.6930785801255035
시설노후/파손,3,판교동,202403,0.9104678362573099,0.5226637830044156
시설노후/파손,3,판교동,202404,0.9068314726209463,0.05406866720735337
시설노후/파손,3,판교동,202405,0.9389693394118174,-0.09912588988014776
시설노후/파손,3,판교동,202406,0.966747117189595,-0.28836622510588444
시설노후/파손,3,하대원동,202403,0.9411913908589441,0.12715712988192548
시설노후/파손,3,하대원동,202404,0.9459051955727488,-0.18165304268846505
시설노후/파손,3,하대원동,202405,0.951113528906082,-0.2997275204359673
시설노후/파손,3,하대원동,202406,0.9556727994227994,-0.1907356948228883
시설노후/파손,6,고등동,202406,0.9154040404040403,-0.4443532950505879
시설노후/파손,6,구미동,202406,0.8602916559365754,0.07328072153325817
시설노후/파손,6,금곡동,202406,0.7226976652379878,-0.23072486060373007
시설노후/파손,6,금광동,202406,0.905021801860515,0.07119126720455624
시설노후/파손,6,단대동,202406,0.9467365967365967,0.025611473940325254
시설노후/파손,6,도촌동,202406,0.8642842902711324,0.015042117930204565
시설노후/파손,6,백현동,202406,0.8570887445887446,-0.017196313110469114
시설노후/파손,6,복정동,202406,0.9386087768440708,0.44669195111672994
시설노후/파손,6,분당동,202406,0.9333333333333332,0.5492917028042786
시설노후/파손,6,삼평동,202406,0.8528504328349692,-0.2057105241504155
시설노후/파손,6,상대원동,202406,0.9455979105911493,0.35621111780052184
시설노후/파손,6,서현동,202406,0.899356413708906,0.22251166829480082
시설노후/파손,6,성남동,202406,0.9713511925665522,-0.20090200902009017
시설노후/파손,6,수내동,202406,0.8876474014399052,0.6881752256918752
시설노후/파손,6,수진동,202406,0.9076560660979957,0.46128734653324827
시설노후/파손,6,시흥동,202406,0.9443722943722944,-0.20612485276796236
시설노후/파손,6,신흥동,202406,0.9558338080928444,-1.4239231983505685
시설노후/파손,6,야탑동,202406,0.9256466119211217,0.2660697694061998
시설노후/파손,6,양지동,202406,0.7708333333333334,0.2647058823529412
시설노후/파손,6,운중동,202406,0.8134809634809635,-0.3515170736864362
시설노후/파손,6,은행동,202406,0.9863108937476026,0.3037569944044764
시설노후/파손,6,이매동,202406,0.9015299510608842,0.5095876017861833
시설노후/파손,6,정자동,202406,0.9008079756324054,0.19057847410870343
시설노후/파손,6,중앙동,202406,0.9720279720279721,0.13323643410852712
시설노후/파손,6,태평동,202406,0.9029983580289543,0.7961037744684837
시설노후/파손,6,판교동,202406,0.9386074767234525,0.11714877894926558
시설노후/파손,6,하대원동,202406,0.9484320951408717,-0.031789282470481385
