month,dong_cluster,complaint_count,processed_count,processing_days_median,parking_count,parking_share
202411,단대동,31,24,0.0,4,0.12903225806451613
202411,대장동,1,0,,1,1.0
202411,도촌동,2,0,,0,0.0
202411,백현동,18,15,0.0,5,0.2777777777777778
202411,복정동,14,11,0.0,3,0.21428571428571427
202411,분당동,10,7,0.0,2,0.2
202411,사송동,5,2,0.0,2,0.4
202411,산성동,3,3,0.0,0,0.0
202411,삼평동,20,18,0.0,2,0.1
202411,상대원동,38,19,0.0,2,0.05263157894736842
202411,서현동,43,33,0.0,3,0.06976744186046512
202411,성남동,205,134,1.0,11,0.05365853658536585
202411,수내동,21,17,0.0,1,0.047619047619047616
202411,수진동,25,17,0.0,1,0.04
202411,시흥동,14,9,0.0,1,0.07142857142857142
202411,신촌동,3,3,0.0,0,0.0
202411,신흥동,23,17,0.0,2,0.08695652173913043
202411,심곡동,6,4,0.0,0,0.0
202411,야탑동,47,36,0.0,7,0.14893617021276595
202411,양지동,8,6,0.0,4,0.5
202411,여수동,18,15,1.0,0,0.0
202411,운중동,10,4,0.0,4,0.4
202411,율동,1,0,,0,0.0
202411,은행동,54,29,1.0,0,0.0
202411,이매동,14,12,0.0,0,0.0
202411,정자동,66,46,0.0,14,0.21212121212121213
202411,중앙동,17,11,0.0,0,0.0
202411,창곡동,24,15,0.0,3,0.125
202411,태평동,43,31,0.0,6,0.13953488372093023
202411,판교동,22,19,0.0,0,0.0
202411,하대원동,76,43,1.0,0,0.0
202412,고등동,2,1,0.0,1,0.5
202412,구미동,43,38,0.5,24,0.5581395348837209
202412,궁내동,10,9,0.0,0,0.0
202412,금곡동,27,24,0.0,3,0.1111111111111111
202412,금광동,70,64,1.0,4,0.05714285714285714
202412,금토동,30,22,0.0,1,0.03333333333333333
202412,단대동,27,21,0.0,0,0.0
202412,대장동,2,1,3.0,0,0.0
202412,도촌동,5,4,0.0,0,0.0
202412,백현동,16,15,0.0,4,0.25
202412,복정동,32,26,0.0,4,0.125
202412,분당동,32,21,0.0,3,0.09375
202412,사송동,1,1,0.0,0,0.0
202412,산성동,9,8,0.0,0,0.0
202412,삼평동,16,13,0.0,6,0.375
202412,상대원동,29,21,1.0,1,0.034482758620689655
202412,상적동,1,1,3.0,1,1.0
202412,서현동,35,27,0.0,1,0.02857142857142857
202412,성남동,114,76,1.0,7,0.06140350877192982
202412,수내동,17,14,0.0,3,0.17647058823529413
202412,수진동,21,17,0.0,1,0.047619047619047616
202412,시흥동,3,3,0.0,0,0.0
