month,dong_cluster,topic_group,complaint_count,month_cluster_total,topic_share
202405,야탑동,시설노후/파손,349,351,0.9943019943019943
202405,양지동,시설노후/파손,50,50,1.0
202405,여수동,불법주정차,1,57,0.017543859649122806
202405,여수동,시설노후/파손,56,57,0.9824561403508771
202405,오야동,시설노후/파손,3,3,1.0
202405,운중동,시설노후/파손,74,74,1.0
202405,율동,시설노후/파손,13,13,1.0
202405,은행동,시설노후/파손,273,273,1.0
202405,이매동,불법주정차,3,87,0.034482758620689655
202405,이매동,시설노후/파손,84,87,0.9655172413793104
202405,정자동,불법주정차,4,261,0.01532567049808429
202405,정자동,시설노후/파손,257,261,0.9846743295019157
202405,중앙동,시설노후/파손,56,56,1.0
202405,창곡동,시설노후/파손,45,45,1.0
202405,태평동,불법주정차,1,185,0.005405405405405406
202405,태평동,시설노후/파손,184,185,0.9945945945945946
202405,판교동,불법주정차,1,113,0.008849557522123894
202405,판교동,시설노후/파손,112,113,0.9911504424778761
202405,하대원동,생활환경,1,32,0.03125
202405,하대원동,시설노후/파손,31,32,0.96875
202406,고등동,시설노후/파손,7,7,1.0
202406,구미동,불법주정차,7,45,0.15555555555555556
202406,구미동,생활환경,1,45,0.022222222222222223
202406,구미동,시설노후/파손,37,45,0.8222222222222222
202406,궁내동,시설노후/파손,3,3,1.0
202406,금곡동,불법주정차,1,16,0.0625
202406,금곡동,시설노후/파손,15,16,0.9375
202406,금광동,불법광고물,2,89,0.02247191011235955
202406,금광동,불법주정차,8,89,0.0898876404494382
202406,금광동,생활환경,2,89,0.02247191011235955
202406,금광동,시설노후/파손,77,89,0.8651685393258427
202406,금토동,시설노후/파손,2,2,1.0
202406,단대동,불법주정차,2,33,0.06060606060606061
202406,단대동,시설노후/파손,31,33,0.9393939393939394
202406,대장동,불법주정차,1,5,0.2
202406,대장동,시설노후/파손,4,5,0.8
202406,도촌동,시설노후/파손,11,11,1.0
202406,백현동,불법광고물,1,24,0.041666666666666664
202406,백현동,불법주정차,4,24,0.16666666666666666
202406,백현동,생활환경,2,24,0.08333333333333333
202406,백현동,시설노후/파손,17,24,0.7083333333333334
202406,복정동,불법주정차,1,17,0.058823529411764705
202406,복정동,시설노후/파손,16,17,0.9411764705882353
202406,분당동,공원/녹지,1,12,0.08333333333333333
202406,분당동,시설노후/파손,11,12,0.9166666666666666
202406,사송동,시설노후/파손,2,2,1.0
202406,산성동,불법광고물,1,7,0.14285714285714285
202406,산성동,시설노후/파손,6,7,0.8571428571428571
202406,삼평동,공원/녹지,3,43,0.06976744186046512
202406,삼평동,불법주정차,2,43,0.046511627906976744
202406,삼평동,생활환경,1,43,0.023255813953488372
202406,삼평동,시설노후/파손,37,43,0.8604651162790697
202406,상대원동,불법주정차,1,40,0.025
202406,상대원동,생활환경,1,40,0.025
202406,상대원동,시설노후/파손,38,40,0.95
202406,서현동,공원/녹지,1,95,0.010526315789473684
202406,서현동,불법광고물,4,95,0.042105263157894736
202406,서현동,불법주정차,4,95,0.042105263157894736
202406,서현동,생활환경,2,95,0.021052631578947368
202406,서현동,시설노후/파손,84,95,0.8842105263157894
202406,성남동,공원/녹지,1,198,0.005050505050505051
202406,성남동,불법주정차,2,198,0.010101010101010102
202406,성남동,생활환경,1,198,0.005050505050505051
202406,성남동,시설노후/파손,194,198,0.9797979797979798
202406,수내동,공원/녹지,3,42,0.07142857142857142
202406,수내동,불법주정차,1,42,0.023809523809523808
202406,수내동,생활환경,2,42,0.047619047619047616
202406,수내동,시설노후/파손,36,42,0.8571428571428571
202406,수진동,불법광고물,1,23,0.043478260869565216
202406,수진동,시설노후/파손,22,23,0.9565217391304348
202406,시흥동,시설노후/파손,4,4,1.0
202406,신흥동,불법주정차,1,39,0.02564102564102564
202406,신흥동,시설노후/파손,38,39,0.9743589743589743
202406,심곡동,시설노후/파손,32,32,1.0
202406,야탑동,공원/녹지,1,51,0.0196078431372549
202406,야탑동,불법광고물,2,51,0.0392156862745098
202406,야탑동,불법주정차,7,51,0.13725490196078433
202406,야탑동,시설노후/파손,41,51,0.803921568627451
202406,양지동,불법주정차,1,8,0.125
202406,양지동,생활환경,6,8,0.75
202406,양지동,시설노후/파손,1,8,0.125
202406,여수동,불법주정차,1,24,0.041666666666666664
